cell	tf
MEP-6	JUND_HUMAN.H11MO.0.A
MEP-6	ELF2_HUMAN.H11MO.0.C
MEP-6	NFIB_HUMAN.H11MO.0.D
MEP-6	HLF_HUMAN.H11MO.0.C
MEP-6	BACH2_HUMAN.H11MO.0.A
MEP-6	IRF1_HUMAN.H11MO.0.A
MEP-6	MAFK_HUMAN.H11MO.1.A
MEP-6	RUNX3_HUMAN.H11MO.0.A
MEP-6	EHF_HUMAN.H11MO.0.B
MEP-6	MAFF_HUMAN.H11MO.1.B
MEP-6	ITF2_HUMAN.H11MO.0.C
MEP-6	ATF3_HUMAN.H11MO.0.A
MEP-6	LYL1_HUMAN.H11MO.0.A
MEP-6	TFAP4_HUMAN.H11MO.0.A
MEP-6	IRF9_HUMAN.H11MO.0.C
MEP-6	MESP1_HUMAN.H11MO.0.D
MEP-6	FOSL2_HUMAN.H11MO.0.A
MEP-6	ELF5_HUMAN.H11MO.0.A
MEP-6	IRF4_HUMAN.H11MO.0.A
MEP-6	NF2L2_HUMAN.H11MO.0.A
MEP-6	BACH1_HUMAN.H11MO.0.A
MEP-6	FOS_HUMAN.H11MO.0.A
MEP-6	STAT6_HUMAN.H11MO.0.B
MEP-6	GFI1_HUMAN.H11MO.0.C
MEP-6	FIGLA_HUMAN.H11MO.0.D
MEP-6	RUNX2_HUMAN.H11MO.0.A
MEP-6	IRF7_HUMAN.H11MO.0.C
MEP-6	ZEB1_HUMAN.H11MO.0.A
MEP-6	CEBPA_HUMAN.H11MO.0.A
MEP-6	KLF4_HUMAN.H11MO.0.A
MEP-6	DBP_HUMAN.H11MO.0.B
MEP-6	MYOG_HUMAN.H11MO.0.B
MEP-6	PAX5_HUMAN.H11MO.0.A
MEP-6	FOSL1_HUMAN.H11MO.0.A
MEP-6	SPIC_HUMAN.H11MO.0.D
MEP-6	PRDM1_HUMAN.H11MO.0.A
MEP-6	SPIB_HUMAN.H11MO.0.A
Mono-7	GATA3_HUMAN.H11MO.0.A
Mono-7	ASCL1_HUMAN.H11MO.0.A
Mono-7	MAFG_HUMAN.H11MO.1.A
Mono-7	TWST1_HUMAN.H11MO.1.A
Mono-7	FIGLA_HUMAN.H11MO.0.D
Mono-7	ASCL2_HUMAN.H11MO.0.D
Mono-7	ELF5_HUMAN.H11MO.0.A
Mono-7	GABPA_HUMAN.H11MO.0.A
Mono-7	RUNX3_HUMAN.H11MO.0.A
Mono-7	HTF4_HUMAN.H11MO.0.A
Mono-7	ID4_HUMAN.H11MO.0.D
Mono-7	ZEB1_HUMAN.H11MO.0.A
Mono-7	ETS2_HUMAN.H11MO.0.B
Mono-7	ETV6_HUMAN.H11MO.0.D
Mono-7	STAT2_HUMAN.H11MO.0.A
Mono-7	EHF_HUMAN.H11MO.0.B
Mono-7	RUNX1_HUMAN.H11MO.0.A
Mono-7	MYF6_HUMAN.H11MO.0.C
Mono-7	LYL1_HUMAN.H11MO.0.A
Mono-7	PRDM1_HUMAN.H11MO.0.A
Mono-7	FOSB_HUMAN.H11MO.0.A
Mono-7	HLF_HUMAN.H11MO.0.C
Mono-7	MESP1_HUMAN.H11MO.0.D
Mono-7	KLF1_HUMAN.H11MO.0.A
Mono-7	GATA2_HUMAN.H11MO.1.A
Mono-7	JDP2_HUMAN.H11MO.0.D
Mono-7	ELF2_HUMAN.H11MO.0.C
Mono-7	RUNX2_HUMAN.H11MO.0.A
Mono-7	GATA1_HUMAN.H11MO.1.A
Mono-7	BATF3_HUMAN.H11MO.0.B
Mono-7	GATA5_HUMAN.H11MO.0.D
Mono-7	CTCF_HUMAN.H11MO.0.A
Mono-7	GATA6_HUMAN.H11MO.0.A
Mono-7	KLF4_HUMAN.H11MO.0.A
Mono-7	RORA_HUMAN.H11MO.0.C
Mono-7	STAT3_HUMAN.H11MO.0.A
Mono-7	ITF2_HUMAN.H11MO.0.C
Mono-7	TFAP4_HUMAN.H11MO.0.A
Mono-7	TFE2_HUMAN.H11MO.0.A
Mono-7	BACH2_HUMAN.H11MO.0.A
Mono-7	NFIB_HUMAN.H11MO.0.D
Mono-7	HEN1_HUMAN.H11MO.0.C
Mono-7	NFE2_HUMAN.H11MO.0.A
Mono-7	FLI1_HUMAN.H11MO.1.A
Mono-7	IRF5_HUMAN.H11MO.0.D
Mono-7	NDF1_HUMAN.H11MO.0.A
Mono-7	ETV4_HUMAN.H11MO.0.B
Mono-7	MYOG_HUMAN.H11MO.0.B
Mono-7	NFIL3_HUMAN.H11MO.0.D
Mono-7	SNAI1_HUMAN.H11MO.0.C
Mono-7	GATA4_HUMAN.H11MO.0.A
MPP-2	GATA3_HUMAN.H11MO.0.A
MPP-2	CEBPD_HUMAN.H11MO.0.C
MPP-2	SNAI1_HUMAN.H11MO.0.C
MPP-2	KLF4_HUMAN.H11MO.0.A
MPP-2	GATA2_HUMAN.H11MO.1.A
MPP-2	GATA5_HUMAN.H11MO.0.D
MPP-2	GATA6_HUMAN.H11MO.0.A
MPP-2	ITF2_HUMAN.H11MO.0.C
MPP-2	GATA1_HUMAN.H11MO.1.A
MPP-2	RUNX2_HUMAN.H11MO.0.A
MPP-2	GFI1_HUMAN.H11MO.0.C
MPP-2	CEBPG_HUMAN.H11MO.0.B
